cannon_1, cannon_2, archer_1, archer_2, townhall_1, research_1, mortar_1, builder_1, builder_2, elixerstorage_1, elixerstorage_2, goldstorage_1, goldstorage_2, gold_1, gold_2, gold_3, gold_4, elixer_1, elixer_2, elixer_3, elixer_4, barracks_1, barracks_2, barracks_3, castle_1, army_1, army_2
1.0, 1.0, 1.0, 0, 1.0, 0, 1.0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0, 1.0, 1.0, 1.0, 0.9483870967741935, 0, 1.0, 1.0, 1.0, 1.0
1.0, 0.8618181818181818, 1.0, 0.748, 1.0, 0, 1.0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0.5967213114754099, 0, 1.0, 1.0, 0, 1.0, 1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0
